,Total_suma,Număr_produse,procent_TVA,metoda_plata,Oră_emitere,Comerciant_id,eticheta,motiv_frauda
0,52.06,8,9,transfer,16:44:25,C0018,non-fraudulent,
1,148.2,4,9,numerar,18:19:44,C0182,non-fraudulent,
2,144.52,6,9,card,13:56:13,C0123,non-fraudulent,
3,306.05,8,9,card,19:35:40,C0174,non-fraudulent,
4,141.45,4,9,tichete,03:09:31,C0128,fraudulent,emitere_noaptea
5,56.47,4,9,tichete,21:32:34,C0111,non-fraudulent,
6,275.18,9,9,card,07:25:47,C0179,non-fraudulent,
7,164.82,5,9,tichete,13:04:03,C0123,non-fraudulent,
8,86.78,5,9,tichete,06:51:31,C0115,non-fraudulent,
9,144.12,4,9,tichete,04:00:16,C0092,fraudulent,emitere_noaptea
10,145.74,9,19,numerar,00:08:02,C0176,fraudulent,emitere_noaptea
11,222.99,6,9,tichete,18:27:46,C0126,non-fraudulent,
12,65.81,9,9,tichete,04:26:05,C0098,fraudulent,emitere_noaptea
13,62.05,9,9,card,23:40:46,C0173,non-fraudulent,
14,33.56,3,19,transfer,04:40:25,C0110,fraudulent,emitere_noaptea
15,63.37,5,9,transfer,04:42:50,C0025,fraudulent,emitere_noaptea
16,387.74,8,9,card,00:58:19,C0180,fraudulent,emitere_noaptea
17,165.33,8,19,numerar,02:18:35,C0100,fraudulent,emitere_noaptea
18,117.43,5,9,tichete,08:49:17,C0110,non-fraudulent,
19,62.71,7,19,transfer,19:48:30,C0003,non-fraudulent,
20,235.61,7,9,tichete,15:34:05,C0001,non-fraudulent,
21,166.9,13,9,card,01:36:23,C0147,fraudulent,emitere_noaptea
22,183.44,4,19,tichete,17:24:46,C0172,non-fraudulent,
23,84.78,10,19,card,11:31:10,C0045,non-fraudulent,
24,199.67,4,9,transfer,11:25:40,C0172,non-fraudulent,
25,198.23,8,19,transfer,02:16:17,C0190,fraudulent,emitere_noaptea
26,264.22,8,9,tichete,16:55:08,C0090,non-fraudulent,
27,191.22,6,19,card,01:08:53,C0118,fraudulent,emitere_noaptea
28,77.36,6,19,card,03:20:31,C0191,fraudulent,emitere_noaptea
29,210.5,5,19,transfer,20:47:27,C0195,non-fraudulent,
30,51.1,6,19,card,09:38:50,C0155,non-fraudulent,
31,71.31,4,9,tichete,09:28:29,C0076,non-fraudulent,
32,185.89,7,9,numerar,03:29:37,C0196,fraudulent,emitere_noaptea
33,90.54,3,19,tichete,04:25:26,C0042,fraudulent,emitere_noaptea
34,392.34,8,19,numerar,20:27:18,C0054,fraudulent,numerar_prea_mare
35,332.44,8,19,numerar,08:31:16,C0040,fraudulent,numerar_prea_mare
36,152.52,6,19,transfer,08:08:32,C0073,non-fraudulent,
37,41.55,4,9,tichete,20:00:03,C0192,non-fraudulent,
38,203.09,10,9,card,13:50:17,C0138,non-fraudulent,
39,321.58,8,9,numerar,19:44:15,C0056,fraudulent,numerar_prea_mare
40,110.37,5,19,transfer,07:08:17,C0007,non-fraudulent,
41,141.1,11,9,tichete,11:04:45,C0129,non-fraudulent,
42,240.81,7,19,transfer,18:18:03,C0193,non-fraudulent,
43,238.84,8,9,tichete,14:02:49,C0168,non-fraudulent,
44,145.67,4,19,card,01:21:47,C0154,fraudulent,emitere_noaptea;comerciant_risc
45,74.16,4,9,numerar,07:52:54,C0112,non-fraudulent,
46,153.28,5,19,transfer,04:59:03,C0065,fraudulent,emitere_noaptea
47,259.38,7,19,tichete,01:16:00,C0048,fraudulent,emitere_noaptea
48,320.9,10,19,card,08:11:09,C0039,non-fraudulent,
49,512.06,13,19,tichete,17:28:23,C0070,non-fraudulent,
50,19.01,2,9,numerar,06:08:43,C0197,non-fraudulent,
51,227.81,12,19,transfer,12:31:19,C0105,non-fraudulent,
52,71.33,4,19,numerar,19:03:23,C0039,non-fraudulent,
53,112.58,7,19,numerar,17:51:43,C0166,non-fraudulent,
54,195.2,7,9,card,10:44:40,C0165,non-fraudulent,
55,152.13,8,19,tichete,23:03:20,C0035,non-fraudulent,
56,253.1,7,19,numerar,19:58:04,C0161,non-fraudulent,
57,103.79,5,9,tichete,00:35:03,C0080,fraudulent,emitere_noaptea
58,68.86,9,19,numerar,09:14:02,C0069,non-fraudulent,
59,376.93,9,19,numerar,17:22:28,C0196,fraudulent,numerar_prea_mare
60,150.53,8,19,numerar,21:04:32,C0014,non-fraudulent,
61,155.64,5,9,transfer,20:01:50,C0058,non-fraudulent,
62,48.36,8,19,transfer,15:11:32,C0156,non-fraudulent,
63,53.78,3,9,tichete,08:04:35,C0198,non-fraudulent,
64,239.08,8,9,numerar,17:45:33,C0175,non-fraudulent,
65,39.65,5,9,transfer,00:34:12,C0169,fraudulent,emitere_noaptea
66,242.44,5,19,numerar,02:50:55,C0028,fraudulent,emitere_noaptea
67,101.13,5,19,tichete,14:53:42,C0200,non-fraudulent,
68,252.59,7,19,card,04:50:02,C0063,fraudulent,emitere_noaptea
69,87.73,2,19,transfer,12:43:44,C0197,non-fraudulent,
70,55.49,5,9,numerar,01:09:49,C0117,fraudulent,emitere_noaptea
71,121.14,3,19,tichete,01:47:51,C0034,fraudulent,emitere_noaptea
72,65.97,4,19,transfer,22:41:56,C0198,non-fraudulent,
73,177.82,5,9,numerar,03:32:54,C0198,fraudulent,emitere_noaptea
74,38.38,6,9,card,08:03:14,C0039,non-fraudulent,
75,36.07,5,9,numerar,01:42:29,C0129,fraudulent,emitere_noaptea
76,43.34,4,19,numerar,04:59:57,C0014,fraudulent,emitere_noaptea
77,171.88,8,9,tichete,17:49:42,C0094,non-fraudulent,
78,399.3,8,9,transfer,02:23:37,C0008,fraudulent,emitere_noaptea
79,98.67,7,19,transfer,15:02:21,C0019,non-fraudulent,
80,26.68,4,19,transfer,08:07:41,C0138,non-fraudulent,
81,189.7,6,19,card,16:53:53,C0164,non-fraudulent,
82,174.04,4,9,transfer,11:58:03,C0015,non-fraudulent,
83,25.66,1,19,tichete,09:30:20,C0183,non-fraudulent,
84,97.98,7,19,tichete,20:47:14,C0094,non-fraudulent,
85,104.19,3,19,tichete,06:58:28,C0019,non-fraudulent,
86,64.96,4,19,card,22:00:25,C0131,non-fraudulent,
87,81.3,3,9,tichete,16:22:35,C0007,non-fraudulent,
88,305.12,7,9,card,05:20:54,C0196,non-fraudulent,
89,132.45,4,19,tichete,17:36:47,C0028,non-fraudulent,
90,30.13,6,9,transfer,23:30:50,C0134,non-fraudulent,
91,60.65,3,9,transfer,00:07:21,C0112,fraudulent,emitere_noaptea
92,161.26,10,19,card,20:45:21,C0165,non-fraudulent,
93,379.98,9,9,card,22:58:45,C0040,non-fraudulent,
94,96.91,4,9,transfer,06:20:00,C0047,non-fraudulent,
