Total_suma,Număr_produse,procent_TVA,metoda_plata,Oră_emitere,Comerciant_id,eticheta,motiv_frauda
141.45,4,9,tichete,03:09:31,C0128,fraudulent,emitere_noaptea
144.12,4,9,tichete,04:00:16,C0092,fraudulent,emitere_noaptea
145.74,9,19,numerar,00:08:02,C0176,fraudulent,emitere_noaptea
65.81,9,9,tichete,04:26:05,C0098,fraudulent,emitere_noaptea
33.56,3,19,transfer,04:40:25,C0110,fraudulent,emitere_noaptea
63.37,5,9,transfer,04:42:50,C0025,fraudulent,emitere_noaptea
387.74,8,9,card,00:58:19,C0180,fraudulent,emitere_noaptea
165.33,8,19,numerar,02:18:35,C0100,fraudulent,emitere_noaptea
166.9,13,9,card,01:36:23,C0147,fraudulent,emitere_noaptea
198.23,8,19,transfer,02:16:17,C0190,fraudulent,emitere_noaptea
191.22,6,19,card,01:08:53,C0118,fraudulent,emitere_noaptea
77.36,6,19,card,03:20:31,C0191,fraudulent,emitere_noaptea
185.89,7,9,numerar,03:29:37,C0196,fraudulent,emitere_noaptea
90.54,3,19,tichete,04:25:26,C0042,fraudulent,emitere_noaptea
392.34,8,19,numerar,20:27:18,C0054,fraudulent,numerar_prea_mare
332.44,8,19,numerar,08:31:16,C0040,fraudulent,numerar_prea_mare
321.58,8,9,numerar,19:44:15,C0056,fraudulent,numerar_prea_mare
145.67,4,19,card,01:21:47,C0154,fraudulent,emitere_noaptea;comerciant_risc
153.28,5,19,transfer,04:59:03,C0065,fraudulent,emitere_noaptea
259.38,7,19,tichete,01:16:00,C0048,fraudulent,emitere_noaptea
103.79,5,9,tichete,00:35:03,C0080,fraudulent,emitere_noaptea
376.93,9,19,numerar,17:22:28,C0196,fraudulent,numerar_prea_mare
39.65,5,9,transfer,00:34:12,C0169,fraudulent,emitere_noaptea
242.44,5,19,numerar,02:50:55,C0028,fraudulent,emitere_noaptea
252.59,7,19,card,04:50:02,C0063,fraudulent,emitere_noaptea
55.49,5,9,numerar,01:09:49,C0117,fraudulent,emitere_noaptea
121.14,3,19,tichete,01:47:51,C0034,fraudulent,emitere_noaptea
177.82,5,9,numerar,03:32:54,C0198,fraudulent,emitere_noaptea
36.07,5,9,numerar,01:42:29,C0129,fraudulent,emitere_noaptea
43.34,4,19,numerar,04:59:57,C0014,fraudulent,emitere_noaptea
399.3,8,9,transfer,02:23:37,C0008,fraudulent,emitere_noaptea
60.65,3,9,transfer,00:07:21,C0112,fraudulent,emitere_noaptea
215.17,8,9,transfer,03:16:35,C0057,fraudulent,emitere_noaptea
70.78,4,19,numerar,01:17:02,C0135,fraudulent,emitere_noaptea
29.85,3,19,tichete,04:42:11,C0127,fraudulent,emitere_noaptea
